NAME,PRICE,DATE,URL
Speck Apple iPhone 8 Plus/7 Plus/6s Plus/6 Plus Inked Case - Marble Gray,24,39:57.5,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Speck+Apple+iPhone+8+Plus%2F7+Plus%2F6s+Plus%2F6+Plus+Inked+Case+-+Marble+Gray&_sacat=0
PopSockets PopGrip Cell Phone Grip & Stand - TXT Me,12.97,40:25.9,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=PopSockets+PopGrip+Cell+Phone+Grip+%26+Stand+-+TXT+Me&_sacat=0
PopSockets PopGrip Cell Phone Grip & Stand - You Succulent,8.99,40:58.6,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=PopSockets+PopGrip+Cell+Phone+Grip+%26+Stand+-+You+Succulent&_sacat=0
Sonix Apple iPhone 11 Pro Max Clear Coat Case - Southern Floral,7.95,41:26.6,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313.TR12.TRC2.A0.H0.XSonix+Apple+iPhone+11+Pro+Max+Clear+Coat+Case+-+Southern+Floral.TRS0&_nkw=Sonix+Apple+iPhone+11+Pro+Max+Clear+Coat+Case+-+Southern+Floral&_sacat=0
500ct Standard Paper Clips - Gold - Sugar Paper Essentials™,9.99,41:42.5,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=500ct+Standard+Paper+Clips+-+Gold+-+Sugar+Paper+Essentials%E2%84%A2&_sacat=0
"Ematic Low Profile Mount 23-65"" - Black (EMW5105 )",19.99,53:58.1,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Ematic+Low+Profile+Mount+23-65%22+-+Black+%28EMW5105+%29&_sacat=0
Jensen Portable CD Player with Bass Boost - Black (CD-60C),14.95,54:11.7,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313.TR12.TRC2.A0.H0.XJensen+Portable+CD+Player+with+Bass+Boost+-+Black+%28CD-60C%29.TRS0&_nkw=Jensen+Portable+CD+Player+with+Bass+Boost+-+Black+%28CD-60C%29&_sacat=0
"Ematic Low Profile Mount 23-65"" - Black (EMW5105 )",19.99,54:43.9,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Ematic+Low+Profile+Mount+23-65%22+-+Black+%28EMW5105+%29&_sacat=0
Jensen Portable CD Player with Bass Boost - Black (CD-60C),14.95,54:58.3,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Jensen+Portable+CD+Player+with+Bass+Boost+-+Black+%28CD-60C%29&_sacat=0
"Ematic Low Profile Mount 23-65"" - Black (EMW5105 )",19.99,55:55.2,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Ematic+Low+Profile+Mount+23-65%22+-+Black+%28EMW5105+%29&_sacat=0
Jensen Portable CD Player with Bass Boost - Black (CD-60C),14.95,56:12.0,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Jensen+Portable+CD+Player+with+Bass+Boost+-+Black+%28CD-60C%29&_sacat=0
"Ematic Low Profile Mount 23-65"" - Black (EMW5105 )",19.99,28:19.3,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313.TR11.TRC1.A0.H0.XEmatic+Low+Profile+Mount+23-65%22+-+Black+%28EMW5105+%29.TRS0&_nkw=Ematic+Low+Profile+Mount+23-65%22+-+Black+%28EMW5105+%29&_sacat=0
Jensen Portable CD Player with Bass Boost - Black (CD-60C),14.95,28:31.7,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Jensen+Portable+CD+Player+with+Bass+Boost+-+Black+%28CD-60C%29&_sacat=0
Judgment Standard Edition Video Game for PlayStation 4 (JM-63244-6),33.99,28:44.1,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Judgment+Standard+Edition+Video+Game+for+PlayStation+4+%28JM-63244-6%29&_sacat=0
New Price Entry Spacer,0,31:33.5,www.google.com
"Ematic Low Profile Mount 23-65"" - Black (EMW5105 )",19.99,31:43.1,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Ematic+Low+Profile+Mount+23-65%22+-+Black+%28EMW5105+%29&_sacat=0
"Post-it  Pop-up Note Dispenser, Steel Top, Gray / White",5,31:52.9,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Post-it++Pop-up+Note+Dispenser%2C+Steel+Top%2C+Gray+%2F+White&_sacat=0
heyday  Apple iPhone XR Case - Pink,8.75,32:02.9,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=heyday++Apple+iPhone+XR+Case+-+Pink&_sacat=0
"Speck 11"" Presidio Balance Folio Case for iPad - Black",10,32:14.6,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Speck+11%22+Presidio+Balance+Folio+Case+for+iPad+-+Black&_sacat=0
Jensen Portable CD Player with Bass Boost - Black (CD-60C),14.95,32:27.0,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Jensen+Portable+CD+Player+with+Bass+Boost+-+Black+%28CD-60C%29&_sacat=0
Mbl Charger Just Wireless Usb-powe,2.47,32:38.1,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Mbl+Charger+Just+Wireless+Usb-powe&_sacat=0
Judgment Standard Edition Video Game for PlayStation 4 (JM-63244-6),33.99,32:50.3,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Judgment+Standard+Edition+Video+Game+for+PlayStation+4+%28JM-63244-6%29&_sacat=0
12ct File Folders - UBrands,5.02,33:00.8,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313.TR10.TRC0.A0.H0.X12ct+File+Folders+-+UBrands.TRS0&_nkw=12ct+File+Folders+-+UBrands&_sacat=0
Case-Mate Apple iPhone XR/11 Twinkle - Gold,8.45,33:13.3,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Case-Mate+Apple+iPhone+XR%2F11+Twinkle+-+Gold&_sacat=0
