name,price,url
dummy,0.0,www.google.com
Mbl Charger Just Wireless Usb-powe,3.5,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Mbl+Charger+Just+Wireless+Usb-powe&_sacat=0
heyday  Apple iPhone 8/7/6s/6 Print Case - Blurred Floral,5.97,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=heyday++Apple+iPhone+8%2F7%2F6s%2F6+Print+Case+-+Blurred+Floral&_sacat=0
Popsockets Popgrip Cell Phone Grip &#38; Stand - Como Se Llama,15.88,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313.TR12.TRC2.A0.H0.XPopsockets+Popgrip+Cell+Phone+Grip+%26%2338%3B+Stand+-+Como+Se+Llama.TRS0&_nkw=Popsockets+Popgrip+Cell+Phone+Grip+%26%2338%3B+Stand+-+Como+Se+Llama&_sacat=0
heyday  Apple iPhone 8/7/6s/6 Case - Orange,0.0,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313.TR12.TRC2.A0.H0.Xheyday++Apple+iPhone+8%2F7%2F6s%2F6+Case+-+Orange.TRS0&_nkw=heyday++Apple+iPhone+8%2F7%2F6s%2F6+Case+-+Orange&_sacat=0
