Product,Quantity,Retail Price,Total Retail Price,UPC,Notes
"Hair Dryer Brush, Hot Air Brush, One Step Hair Dryer & Volumizer with Smooth Frizz and Ionic Technology",1,$12.74 ,$12.74 ,,
"Eye Dropper Bottle, Hoa Kinh 48 Pack 1 oz 30ml Amber Glass Dropper Bottle with Droppers, 2 Funnels for Essential Oils, Perfumes",1,$11.58 ,$11.58 ,,
"Conair Double Ceramic Curling Iron, 1 Inch Curling Iron, White/Rose Gold",1,$10.70 ,$10.70 ,,
TCA 15% Skin Peel - Salicylic Acid 5% Enhanced with Botanical Extracts,1,$10.64 ,$10.64 ,,
"Comfer Heated Knee Brace Wrap with Massage,Vibration Knee Massager with Heating Pad for Knee Pain,Leg Massager,Heated Knee Pad for Arthritis Join Pain Relief",1,$10.44 ,$10.44 ,,
[the SAEM] Natural Facial Mask Sheet 21ml 20 Pack - Korean Skincare Moisturizing and Nourishing Facial Mask Sheet Variety Combo Pack,1,$10.19 ,$10.19 ,,
BERON Long Wavy Soft Synthetic Wig with Straight Bangs for Women Girls Wig Cap Included (Black),1,$9.73 ,$9.73 ,,
"Vive Desk Bike Cycle - Foot Pedal Exerciser - Foldable Portable Foot, Hand, Arm, Leg Exercise Pedaling Machine - Folding Mini Stationary Bike Pedaler, Fitness Rehab Gym Equipment (Teal)",1,$9.68 ,$9.68 ,,
"Real Techniques Makeup Blender Brush for Liquid Foundation, Versatile for Cream and Powder Foundations",1,$9.39 ,$9.39 ,,
Slick Gorilla Hair Styling Texturizing Powder 0.70 Ounce (20g),1,$8.69 ,$8.69 ,,
"Medpride Hydrocolloid Wound Dressing Pads 10-Pack, 4 by 4 Sterile Adhesive Patches Individually Packed, Highly Absorbent, Water-Resistant & Comfortable Stays On for Multiple Days",1,$8.54 ,$8.54 ,,
"GENIUS Hair Growth Oil, Biotin Hair Growth Serum, for Stronger, Thicker, Longer Hair, Hair Growth Treatment for Women Men With Thinning Hair Loss Serum 1fl oz",1,$8.34 ,$8.34 ,,
Hair Diffuser Universal Hair Diffuser Attachment Hair Dryer Diffuser,1,$7.87 ,$7.87 ,,
"Organic Face Moisturizer, Unscented Natural Face Cream for Every Skin Type, Mostly Aloe, Jojoba, Green Tea, Shea Butter, Sweet Almond, 1.7 Ounces",1,$7.45 ,$7.45 ,,
"Maui Moisture Shea Butter Body Wash 19.5 Ounce Moisturizing Body Wash Formulated for Dry Skin Normal Skin Combination Skin, with Aloe Vera Juice and Coconut Water, Silicone Free",1,$7.17 ,$7.17 ,,
