Pallet ID,Pallet Title,LP,Category,Brand,Product Name,UPC,ASIN,Orig. Retail,Condition,Ave. Price per Unit
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPXX255339,Cell Phone Accessories,Playtek,Playtek Bubble Blaster: Bubble In A Bubble,8.40294E+11,,$19.99 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPXX255340,Cell Phone Accessories,Playtek,Playtek Bubble Blaster: Bubble In A Bubble,8.40294E+11,,$19.99 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPXX255341,Cell Phone Accessories,Playtek,Playtek Bubble Blaster: Bubble In A Bubble,8.40294E+11,,$19.99 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPXX255343,Cell Phone Accessories,Playtek,Playtek Bubble Blaster: Bubble In A Bubble,8.40294E+11,,$19.99 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPXX255426,Cell Phone Accessories,Playtek,Playtek Bubble Blaster: Bubble In A Bubble,8.40294E+11,,$19.99 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPXX255430,Cell Phone Accessories,Playtek,Playtek Bubble Blaster: Bubble In A Bubble,8.40294E+11,,$19.99 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPXX257934,Cell Phone Accessories,Playtek,Playtek Bubble Blaster: Transparent Galaxy,8.40294E+11,,$19.99 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPXX257935,Cell Phone Accessories,Playtek,Playtek Bubble Blaster: Transparent Galaxy,8.40294E+11,,$19.99 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPXX257936,Cell Phone Accessories,Playtek,Playtek Bubble Blaster: Transparent Galaxy,8.40294E+11,,$19.99 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPXX257940,Cell Phone Accessories,Playtek,Playtek Bubble Blaster: Transparent Galaxy,8.40294E+11,,$19.99 ,New,$6.38 
