Product,Quantity,Retail Price,Total Retail Price,UPC,Notes,purl,bid
"iPhone to HDMI Digital AV Adapter, Lighting to HDMI Adapter, 2 in 1 Plug and Play 1080P HDTV Connector Compatible with iPhone iPad iPod Models on TV/Monitor/Projector",1,$9.38 ,$9.38 ,,,,
"GREENCYCLE Re-Manufactured PG-240XL 240 XL Ink Cartridge Compatible for Canon PIXMA MG3620 MG4220 MG3220 MG2220 MX392 MX432 MX472 MX512 MG3522 MX522 MX532 Printer (Black, 1 Pack)",1,$9.15 ,$9.15 ,,,,
"USB Type-C to USB-A 2.0 Male Charger Cable, 3 Feet (0.9 Meters), White",1,$7.47 ,$7.47 ,,,,
VIVO Universal Adjustable 10 to 15.6 inch Laptop Mount Holder for VESA Compatible Monitor Arms Notebook Tray (Stand-LAP3),1,$6.58 ,$6.58 ,,,,
"USB Type C Charger Cable 6.6FT 2-Pack,Nylon Charging Power Cord for New Fire HD 10 (2019) HD 8 (2020),Samsung Galaxy Fold A10E A20 A20E A30 A40 A51 A8 A9,S20 Plus Ultra,LG V50 V40 G8 Thinq,Moto Z3 G7",1,$6.36 ,$6.36 ,,,,
"LASMEX 2.5mm to 3.5mm Aux Cable with Mic & Remote Compatible with Bose 700 / QuietComfort QC35ii / QC35 / QC25 Noise Cancelling Headphones, Audio Replacement Cord Wire for Androids, PS4, Xbox",1,$5.57 ,$5.57 ,,,,
"Fujifilm INSTAX Mini Instant Film 2 Pack = 20 Sheets (White) for Fujifilm Mini 8 & Mini 9 Cameras, Model:4332059078",1,$5.34 ,$5.34 ,,,,
USB-Powered PC Computer Speakers with Dynamic Sound Silver,1,$4.62 ,$4.62 ,,,,
Maped Technic Expert Vinyl Eraser x2 (105849),1,$1.99 ,$1.99 ,,,,
Wiresmith AC Power Adapter Charger for Nintendo Gameboy Advance GBA Micro,1,$1.76 ,$1.76 ,,,,
SimYoung Thunderbolt Mini Display Port to HDMI Cable for Apple iMac MacBook Air Pro 6FT Black,1,$1.59 ,$1.59 ,,,,
